成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,电梯,楼层,建筑类型
101106520448,2室2厅,水岸东方1期,95.15,113,115,11876,31,2020.01.16,南,精装,,高楼层(共18层),板塔结合
101105154091,1室1厅,海荣雅庭花园,52,70,71,13462,193,2020.01.16,北,简装,,高楼层(共11层),板楼
101105422649,3室2厅,长安易居,124.96,114,125,9123,160,2020.01.16,南北,精装,,中楼层(共6层),板楼
101106707121,3室2厅,高科尚都,163.33,303,335,18552,9,2020.01.16,南北,精装,,中楼层(共9层),板塔结合
101105127292,3室2厅,金辉世界城,106,173,175.5,16321,196,2020.01.16,南,毛坯,,中楼层(共34层),板塔结合
101105913690,2室1厅,世家星城1期,100.27,152,160,15160,104,2020.01.16,南北,简装,,低楼层(共6层),板楼
101106304537,4室2厅,紫薇田园都市J区,152.42,275,282,18043,59,2020.01.16,南北,精装,,中楼层(共11层),板楼
101103961746,3室2厅,长兴园湖曲,83.13,128,133,15398,372,2020.01.16,西北,精装,,低楼层(共27层),板塔结合
101106650410,2室2厅,八水御源,66,43,43,6516,17,2020.01.15,南,简装,,低楼层(共27层),平房
101106584312,1室1厅,泰华·顶秀风尚,52.42,65,67,12400,27,2020.01.15,北,简装,,中楼层(共30层),板楼
101105719176,1室1厅,西安航天城A区,52.44,79,81,15065,127,2020.01.15,南,精装,,中楼层(共33层),板塔结合
101106574176,3室2厅,天正花园,120.44,80,81,6643,28,2020.01.15,东南,简装,,低楼层(共4层),板楼
101105865211,3室2厅,鼎新花园,107,118,120,11029,110,2020.01.15,南,简装,,高楼层(共16层),板塔结合
101106270658,2室2厅,中海开元壹号,73.72,126,128,17092,63,2020.01.15,南,简装,,高楼层(共33层),板楼
101105866559,4室2厅,白桦林明天,164.71,273,300,16575,110,2020.01.15,南北,精装,,中楼层(共34层),板塔结合
101104732223,2室2厅,太白新苑,110,128,150,11637,245,2020.01.15,南北,简装,,低楼层(共22层),塔楼
101106614311,3室2厅,枫叶苑南区,128.96,315,325,24427,23,2020.01.15,南北,精装,,高楼层(共7层),板楼
101105981601,2室2厅,汇通太古城·青都新界,83.34,119,122,14279,96,2020.01.15,南,简装,,低楼层(共32层),板塔结合
101106206132,2室1厅,浐灞新城翠园小区,82.24,88,91,10701,71,2020.01.15,南北,简装,,中楼层(共12层),板楼
101105112104,3室2厅,华远枫悦,91.44,138,140,15092,198,2020.01.15,南,精装,,中楼层(共34层),板楼
101106070559,4室2厅,普华浅水湾,141.83,165,168,11634,87,2020.01.15,南北,毛坯,,高楼层(共33层),板楼
101105184726,2室2厅,恒大帝景,81.98,127,132,15492,189,2020.01.15,南,精装,,低楼层(共33层),板塔结合
101105013423,2室2厅,南康小区,90.84,95,93,10370,208,2020.01.15,南北,精装,,中楼层(共6层),板楼
101106718882,2室2厅,西何小区,94.6,85,98,8986,8,2020.01.15,南北,精装,,低楼层(共7层),板楼
101106744955,2室1厅,永松路3号院,79.11,76,76,9607,4,2020.01.15,南北,其他,,高楼层(共7层),板楼
