成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,建筑类型,latitude,longtitude,楼层位置,楼高
101106691747,3室2厅,中海凯旋门,104.9,207,210.0,19734,13,2020.01.16,南北,精装,板塔结合,34.1882960503094,108.9857770166993,中楼层,18
101104776159,2室2厅,天朗大兴郡,82.59,116,118.0,14046,240,2020.01.16,南,简装,板塔结合,30.672103258687855,104.08871950535169,中楼层,27
101106299620,2室2厅,翠屏湾二期,93.5,110,112.0,11712,61,2020.01.16,南,毛坯,板塔结合,29.79471243129342,121.58290111510985,高楼层,18
101106436119,2室1厅,东方广场,98.37,110,113.0,11132,43,2020.01.16,西南,精装,板塔结合,39.91566972486501,116.42097635495453,低楼层,30
101106680322,2室1厅,陕西华山半导体小区,54.41,67,68.0,12289,14,2020.01.16,北南,精装,暂无数据,34.27580800602361,108.96039314875111,低楼层,6
101106426900,2室1厅,枫韵蓝湾,88.3,130,132.0,14723,44,2020.01.16,南,简装,板塔结合,34.243564057239595,108.88165999453192,高楼层,18
101104972099,2室2厅,中海观园A区,88.9,181,185.0,20360,214,2020.01.16,南,精装,板塔结合,34.22598172697983,108.99088478182904,中楼层,32
101106640645,2室1厅,伟业公馆,94.78,172,176.0,18148,20,2020.01.16,南北,精装,板塔结合,34.24424549201927,108.88444581957945,中楼层,32
101103038195,3室2厅,香克林小镇,130.23,180,185.0,13822,565,2020.01.16,南北,精装,板塔结合,34.329272164093794,108.97073812483455,高楼层,30
101105440927,3室2厅,融创天朗臻园,120.0,210,219.0,17500,159,2020.01.16,南北,精装,板塔结合,39.9508729127807,116.44177230717162,低楼层,11
101106616627,1室1厅,海棠别馆,58.64,94,95.0,15911,23,2020.01.16,南,精装,板塔结合,18.34801783549779,109.71318002841308,高楼层,26
101105435686,2室1厅,明德门(南西区),68.0,60,63.0,8824,160,2020.01.16,西北,简装,塔楼,0.0,0.0,高楼层,7
101106079278,2室1厅,凤苑新居,94.63,85,86.0,8983,87,2020.01.16,南北,简装,板楼,30.62329050897867,103.97328428291135,高楼层,6
101106477759,1室1厅,南方星座,56.0,70,72.0,12465,38,2020.01.16,南,精装,塔楼,31.35190937998201,121.36237036356096,中楼层,30
101105961759,2室1厅,金科天籁城,93.71,132,135.0,14087,99,2020.01.16,南北,精装,板塔结合,31.20944589114497,121.32433125741873,中楼层,33
101106720804,2室2厅,水半湾,78.0,56,56.0,7174,9,2020.01.16,南北,毛坯,暂无数据,34.449919996646834,109.03355644948621,中楼层,6
